Day,Changes,Commits,Changes Per Commit
Tuesday,33814,2255,14.995121951219513
Wednesday,31892,2376,13.422558922558922
Thursday,14636,2202,6.646684831970935
Friday,16749,1966,8.519328585961343
Saturday,5526,795,6.950943396226415
Monday,48219,1968,24.5015243902439
Sunday,7650,620,12.338709677419354
