,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cgraphbuild.c
534,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cgraphclones.c
535,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cgraphunit.c
577,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/combine-stack-adj.c
578,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/combine.c
581,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/compare-elim.c
587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/configure
590,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/context.h
599,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/coroutine-passes.cc
600,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/coverage.c
602,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cppbuiltin.c
607,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/cse.c
608,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cselib.c
609,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cselib.h
612,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/data-streamer-out.c
614,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/data-streamer.h
617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,../gcc-11.2.0/gcc/dbgcnt.def
619,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dbxout.c
621,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dce.c
623,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ddg.c
629,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,../gcc-11.2.0/gcc/df-core.c
630,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/df-problems.c
631,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/df-scan.c
632,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/df.h
633,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dfp.c
638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/diagnostic-event-id.h
639,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/diagnostic-format-json.cc
642,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/diagnostic-show-locus.c
644,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/diagnostic.c
649,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dojump.c
651,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,../gcc-11.2.0/gcc/dominance.c
655,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/double-int.c
656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/double-int.h
657,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dse.c
659,2.0,17.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,../gcc-11.2.0/gcc/dumpfile.c
661,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dwarf2asm.c
663,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dwarf2cfi.c
664,1.0,162.0,7.0,0.0,0.0,110.0,0.0,0.0,6.0,../gcc-11.2.0/gcc/dwarf2out.c
666,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/early-remat.c
667,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/edit-context.c
669,0.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/emit-rtl.c
670,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/emit-rtl.h
674,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/et-forest.c
676,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/except.c
679,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/explow.c
681,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/expmed.c
682,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/expmed.h
683,0.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/expr.c
686,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/fibonacci_heap.h
691,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/final.c
692,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/fixed-value.c
696,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/fold-const-call.c
698,9.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/fold-const.c
704,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/function-abi.cc
707,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/function.c
708,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/function.h
713,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcc-rich-location.c
716,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcc.c
724,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcov.c
727,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcse.c
735,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genattrtab.c
736,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genautomata.c
748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genextract.c
753,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype-parse.c
754,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype-state.c
755,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype.c
756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype.h
758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/gcc/genmatch.c
761,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genmodes.c
766,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genpreds.c
767,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genrecog.c
768,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gensupport.c
770,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gentarget-def.c
771,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ggc-common.c
773,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ggc-none.c
774,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ggc-page.c
781,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-expr.c
782,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-expr.h
783,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-fold.c
786,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-isel.cc
