,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
64,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/compare-elim.c
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/configure
66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/context.h
67,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/coroutine-passes.cc
68,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/coverage.c
69,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cppbuiltin.c
70,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/cse.c
71,0.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cselib.c
72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/cselib.h
73,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/data-streamer-out.c
74,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/data-streamer.h
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,../gcc-11.2.0/gcc/dbgcnt.def
76,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dbxout.c
77,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dce.c
78,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ddg.c
79,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,../gcc-11.2.0/gcc/df-core.c
80,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/df-problems.c
81,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/df-scan.c
82,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/df.h
83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dfp.c
84,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/diagnostic-event-id.h
85,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/diagnostic-format-json.cc
86,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/diagnostic-show-locus.c
87,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/diagnostic.c
88,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dojump.c
89,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,../gcc-11.2.0/gcc/dominance.c
90,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/double-int.c
91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/double-int.h
92,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dse.c
93,2.0,17.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,../gcc-11.2.0/gcc/dumpfile.c
94,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dwarf2asm.c
95,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/dwarf2cfi.c
